en|His call for a ban on new investment should be an example for us, Commissioner.
nl|Dit toont aan dat gezamenlijke onderzoeksteams van waarde zijn in de strijd tegen het terrorisme.
en|I was basing my answer on the facts available to me, i.e. the statistics.
nl|De recente gascrisis tussen Oekraïne en Rusland heeft aangetoond, dat een gemeenschappelijk energiebeleid nodig is.
en|Of course, the participation of the works committees, the representatives of the workers, is expected.
nl|Deze principes zijn verankerd in de Verdragen en mogen op geen enkele manier worden geschonden.
en|Mobilisation of the European Globalisation Adjustment Fund: application EGF/2011/004 EL/ALDI Hellas/Greece (
nl|Het is dus terecht dat het Europees Parlement de Slowaakse bevolking feliciteert met deze verkiezingsuitslag.
en|B5-0270/2001 by Mrs Hautala and others, on behalf of the Verts/ALE Group;
nl|Je kunt het niet, in naam van het verzet tegen de sovjetoverheersing, anders gaan noemen.
en|That might give us time to resolve one or two serious problems, including organisational ones.
nl|De advocaten Abdul Raouf Ayadi, Ayachi Hammani, Mohamed Abbou en Radhia Nasraoui worden voortdurend geïntimideerd.
en|On the contrary, the challenges have become greater because the imbalances represent a major problem.
nl|Het Europees Parlement onderhoudt al jaren vriendschappelijke relaties met de parlementsleden van de ASEAN-landen.
en|The fact is that the arguments for European legislation on zoos are not very strong.
nl|Dan denk ik met name aan de relatie met betrekking tot visserij, handel en migratie.
en|Commissioner Fischler says that we should not implement the hormone panel findings but provide compensation.
nl|Het betreft hier een drietal toelichtingen die vanuit het oogpunt van de Commissie noodzakelijk zijn.
en|The overall strategy is good, but it is a pity it has been weakened unnecessarily.
nl|Daarom steun ik de oproep om meer financiering en kredieten beschikbaar te stellen van harte.
en|Our aim is standardization within a European, possibly even a Community European civil aviation authority.
nl|Commissaris Mandelson heeft zojuist gesproken over het beheren en het beheersen van de legale immigratie.
en|I have two requests to speak in relation to observance of the Rules of Procedure.
nl|Dit is in 1979 veranderd in een verdekte vermelding en sedertdien woedt het conflict hierover.
en|Of course the right to strike is a fundamental right: that is not in dispute.
nl|Er zit nog een zeer delicaat aspect aan deze zaak: de traceerbaarheid van financiële transacties.
en|Any violations of social and environmental standards must be subject to the standard dispute mechanism.
nl|Wij prijzen u allen met name om uw inspanningen voor een toenadering met Noord-Korea.
en|The situation so far as aid from the networks budget is concerned is very clear.
nl|Mijnheer de Voorzitter, om te beginnen feliciteer ik de heer Bushill-Matthews met zijn verslag.
en|People must think again about where the uninhibited gratification of their own needs can lead.
nl|Ik roep het Parlement op om geen kwijting te verlenen voor de begroting van 1996.
en|My colleague Mr Michel has participated in all the Assemblies held since he took office.
nl|Maar, zoals mijn collega’s al zeiden, we moeten ons ook op de oorzaken richten.
en|We are now about to provide these instruments with the additional resources that are needed.
nl|De economische en sociale verschillen maken een effectief cohesiebeleid dan ook tot een absolute noodzaak.
en|For this reason, more intensive energy dialogue is needed between the European Union and Turkey.
nl|Hetzelfde geldt voor Israël, Turkije en de kandidaat-landen die communistische partijen vervolgen en verbieden.
en|For example, this Parliament is extremely supportive - and quite rightly so - of the Petersberg Tasks.
nl|Deze zullen waarschijnlijk worden voortgezet in het geval van een gedeeltelijke bevriezing van de samenwerking.
en|Where operations have been carried out, lives have been saved and illegal immigration substantially reduced.
nl|Ik ben van mening dat de commissaris het in deze buitengewoon moeilijke situatie uitstekend doet.
en|The number of starving people has risen in that region by many tens of millions.
nl|Daarvoor zijn er nog onbenutte mogelijkheden, maar die veronderstellen een algemene aanpak van het productiesysteem.
en|Mr Barzanti mentioned the first of these, which concerns indigenous peoples and their cultural rights.
nl|Het gaat hier echter om kleine toepassingen. De huidige tabaksteelt is hiervoor veel te omvangrijk.
en|Or Bill Clinton cavorting with tarts in hotels and hallways, wiping his secretions on dresses?
nl|Dat zal noodzakelijkerwijze gepaard moeten gaan met het nog efficiënter inzetten van de communautaire middelen.
en|On the other hand, we have problems with Amendment No 24, which concerns Article 16.
nl|DG VI heeft zich van zijn slechtste protectionistische kant laten zien, tot ongenoegen van iedereen.
en|As for the European Parliament, it had no role to play: nobody asked our opinion.
nl|Als dat wel zo is, dan valt een lidmaatschap niet aan onze burgers te verkopen.
en|Society has spent millions on training professionals: we must therefore be wary of dangerous amateurs.
nl|Helaas brengt dit voorstel voor een richtlijn betreffende uitzendwerk ons steeds verder van ons doel.
en|Finally, I should mention the composition of the Commission and the new weighting of votes.
nl|Maar op basis van die controle heeft de Rekenkamer ook kritiek geleverd op het boekhoudsysteem.
en|I am not saying that the EU should dictate, but there has to be cooperation.
nl|Het zal meer aandacht aan het Zuiden en bijgevolg aan zijn mediterraan beleid moeten besteden.
en|I hope we will win this bet, because the cost of losing will be enormous.
